Player,Club,GP,GS,Mins,Image
Matty Longstaff,Toronto,32,25,2227,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls-tor/emund6jrpcmjldjxtwnl.png
Federico Bernardeschi,Toronto,29,28,2465,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls-tor/dx8s7r6zzdyiteywaogb.png
Lorenzo Insigne,Toronto,23,17,1356,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop_2x/f_png/mls-tor/sge8xglfkysczhi6ndsk.png
Sean Johnson, Toronto, 23,25, 2222, https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-tor/isdjk9kxdhzmns07n5zs.png
Luka Gavran,Goalkeeper,Canada,2000-05-09
Kevin Long,Defender,Ireland,1990-08-18
Zane Monlouis,Defender,Jamaica,2003-10-16
Nicksoen Gomis,Defender,France,2002-03-15
Sigurd Rosted,Defender,Norway,1994-07-22
Kobe Franklin,Defender,Canada,2003-05-10
Richie Laryea,Defender,Canada,1995-01-07
Nathaniel Edwards,Defender,Canada,2002-10-18
Raoul Petretta,Defender,Switzerland,1997-03-24
Henry Wingo,Defender,USA,1995-10-04
Lazar Stefanovic,Defender,Canada,2006-08-10
Matty Longstaff,Midfielder,England,2000-03-21
Alonso Coello,Midfielder,Spain,1999-10-12
Deiby Flores,Midfielder,Honduras,1996-06-16
Jonathan Osorio,Midfielder,Canada,1992-06-12
Maxime Dominguez,Midfielder,Switzerland,1996-02-01
Kosi Thompson,Midfielder,Canada,2003-01-27
Markus Cimermancic,Midfielder,Canada,2004-10-01
Theo Corbeanu,Forward,Canada,2002-05-17
Ola Brynhildsen,Forward,Norway,1999-04-27
Federico Bernardeschi,Forward,Italy,1994-02-16
Derrick Etienne Jr.,Forward,Haiti,1996-11-25
Tyrese Spicer,Forward,Trinidad and Tobago,2000-12-04
Lorenzo Insigne,Forward,Italy,1991-06-04
Deandre Kerr,Forward,Canada,2002-11-29
Charlie Sharp,Forward,Canada,2001-06-23
